,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
257,Fantagraphics Books,2025-01-20,Writer,1200 word analysis,1200 word analysis,writing and reporting,1200,article,100,per article,100,Every article from this publication pays $100 in addition to 4 books each of which has an individual value cap of $40,4,25,New Job - Still Waiting,Check by mail,"Pre-existing relationship, They reached out to me with an assignment",Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,"Original request was for an interview, I asked to change to analysis because I thought it was a better fit for the website than an interview.",Did not require expenses,,Was not hazardous,No,No,,,Entertainment,United States,No,Illinois,United States,He/His,White,10-15 years,37,"Whatevs, Would recommend to others",Male,2025-01-20,Fantagraphics Books,not_news
258,Fast Company,2024-03-01,Writer,1200 word article,1200 word article,writing and reporting,1200,article,1000,flat,1000,Flat fee of $1000,20,50,30 days,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,No overtime applicable since it was a flat fee for the article,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,Technology,US,No,DC,US,She/Her,White,25 &amp; up,58,Would recommend to others,Female,2024-03-01,Fast Company,news
259,Feldcomm,2024-09-01,Writer,1250 words reporting,1250 words reporting,writing and reporting,1250,article,350,,0,,4.5,77.78,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Non Fiction General/Genre,united states,No,illinois,united states,He/His,White,20-25 years,60,Loved it,Male,2024-09-01,Feldcomm,not_news
260,Fermilab,2024-06-26,Writer,Updating a reference map,updating a reference map,graphics/design,,graphics,650,per hour,50,$50/hr,13,50,,Haven't been paid yet,Pre-existing relationship,,,No,,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,,No,,Science,USA,Yes,New JErsey,Illinois,She/Her,White,10-15 years,36,Loved it,"Cis, Female",2024-06-26,Fermilab,not_news
261,Field of Vision,2021-04-05,Fact-checker,Fact-checked 3 25-30 minute documentaries,fact checked 3 25 30 minute documentaries,fact-check,,other,1000,per hour,35,$35 per hour,,,2 weeks or less,Direct Deposit,"They reached out to me with an assignment, Network referral",Work For Hire,Yes,No,,,,Job did not expand,,,Was not hazardous,,No,,,,United States,,New York,United States,She/Her,White,0-5 years,25,Would recommend to others,"Cis, Female",2021-04-05,Field of Vision,news
262,fifth wheel press,2023-07-08,,Book review tied to author's past work and my own personal essay,book review tied to author's past work and my own personal essay,writing and reporting,,review,50,,0,,15,3.33,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2023-07-08,fifth wheel press,ambiguous
263,Fifty Grande,2024-01-01,Writer,500 word reported story,500 word reported story,writing and reporting,500,article,250,,0,,10,25,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Yes,No,"Yes, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,Unsure,,Travel,US,No,NY,,She/Her,White,,,"Whatevs, Would recommend to others",Female,2024-01-01,Fifty Grande,news
264,Financial newsletter publishing company - name could be identifiable,2020-11-25,Writer,Research report writing (~2000 words),research report writing (~2000 words),writing and reporting,2000,article,750,,0,,,,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Financial research,United States,Yes,Maryland,United States,He/His,"Jewish, White",5-10 years,26,Would recommend to others,"Cis, Genderqueer, Male",2020-11-25,Not Specified,not_news
265,First Look Media,2021-04-30,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,850,per article,850,850/story,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Politics,United States,No,Vermont,United States,He/His,Black,5-10 years,33,"Loved it, Would recommend to others",Male,2021-04-30,First Look Media,ambiguous
266,Fiverr,2022-10-19,"Editor, Writer",1200 word nutrition article,1200 word nutrition article,writing and reporting,1200,article,36,,0,$15/hr,,,New Job - Still Waiting,Paypal,They reached out to me with an assignment,Work For Hire,No,No,"No, but the job wasn't killed",,Did not require overtime,Still ongoing,Did not require expenses,,Was not hazardous,No,No,No,,Health &amp; Wellness,Usa,No,Il,Usa,He/His,Black,0-5 years,27,Would recommend to others,"Cis, Male",2022-10-19,Fiverr,not_news
267,FiveThirtyEight,2021-06-01,Writer,1500 word reported feature,1500 word reported feature,writing and reporting,1500,feature,1500,per word,1,$1 per word,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,Unsure,,Unsure,Job did not expand,Did not require expenses,,,Publicly Available,No,No,,Science,United States,No,NY,US,She/Her,White,5-10 years,26,Would recommend to others,"Cis, Female",2021-06-01,FiveThirtyEight,news
268,Fjord Magazine,2022-11-01,Writer,Author interview,author interview,writing and reporting,,article,250,,0,,,,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,easy,Was not hazardous,No,No,No,,Fiction General/Genre,usa,Yes,md,,She/Her,Jewish,15-20 years,65,Loved it,Female,2022-11-01,Fjord Magazine,news
269,Flaunt Magazine,2025-03-19,Writer,Commissioned for an 1100-1300 word feature on an artist/exhibit,commissioned for an 1100 1300 word feature on an artist/exhibit,writing and reporting,1200,feature,140,,0,,10,14,New Job - Still Waiting,Haven't been paid yet,They reached out to me with an assignment,Unsure,Verbal or ‘handshake’ agreement,Included a gallery visit to prep for interview,Unsure,,Unsure,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Arts and Culture,USA,Yes,New York,USA,Prefer not to say,White,5-10 years,,"I would recommend with the caveat that the publication's budgets are extremely modest and media workers might need to advocate for payment (even if it's ultimately given), which is far from ideal in 2025.","Cis, Female",2025-03-19,Flaunt Magazine,news
270,Fodor’s,2021-02-12,Writer,"900 words travel reporting, interview",900 words travel reporting interview,writing and reporting,900,article,250,,0,N/a,,,New Job - Still Waiting,Direct Deposit,Cold pitch - I reached out to them,Unsure,Yes,No,"Yes, but the job wasn't killed",50,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",Publicly Available,Unsure,No,,Travel,United States,No,Florida,United States,She/Her,White,0-5 years,,Would recommend to others,Female,2021-02-12,Fodors Travel Guide,news
271,Food &amp; Wine,2024-03-01,Writer,700 words basics explainer article on a wine subject,700 words basics explainer article on a wine subject,writing and reporting,700,article,300,flat,300,$300 flat rate,5,60,6 weeks,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Yes,No,"Yes, but the job wasn't killed",75,Did not require overtime,Job did not expand,Did not require expenses,,Did not receive hazard pay,Publicly Available,No,No,,wine,United States,No,Connecticut,United States,She/Her,White,20-25 years,42,"Whatevs, Would recommend to others",Female,2024-03-01,Food & Wine,news
272,Food and Wine,2021-02-01,Writer,1000 word essay,1000 word essay,writing and reporting,1000,essay,500,per word,0.5,50c a word,,,30 days,Check by mail,Cold pitch - I reached out to them,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,No,Unsure,No,,Cooking,US,No,MA,US,She/Her,"Black, Latinx",5-10 years,,"Loved it, Would recommend to others",Female,2021-02-01,Food & Wine,news
273,Food and Wine Magazine,2025-01-01,Writer,600-800 words reporting,600 800 words reporting,writing and reporting,700,article,350,,0,,4,87.5,2 weeks or less,Check by mail,Pre-existing relationship,1st Rights,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,Unsure,No,No,,Travel,United States,Yes,New York,United States,She/Her,White,20-25 years,58,Would recommend to others,Female,2025-01-01,Food & Wine,news
274,Food Network,2024-02-12,Animator,6 second FX animation,6 second fx animation,graphics/design,,graphics,415,,0,,6,69.17,2 weeks or less,Paypal,Pre-existing relationship,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,,,,,"Entertainment, Cooking",France,Yes,,United States,She/Her,"Jewish, White",10-15 years,36,Whatevs,"Cis, Female",2024-02-12,Food Network,news
275,Forbes,2024-05-01,Writer,Product roundup,product roundup,writing and reporting,,article,500,per article,500,$500 per article - I put 5 hours above because I don't track time.,5,100,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,Unsure,,"National News, Technology",USA,Yes,IL,USA,He/His,White,10-15 years,47,Loved it,Male,2024-05-01,Forbes,news
276,Forbes,2021-04-01,Writer,"500 words reported, all of writing process (writing, editing, uploading) done by writer",500 words reported all of writing process (writing editing uploading) done by writer,editing,500,article,50,per article,50,$50 per article up to 5 per month.,,,30 days,Direct Deposit,Pre-existing relationship,Unsure,Yes,,"No, but the job wasn't killed",,,Job expanded &amp; I wasn't compensated,,,,No,No,,,Entertainment,USA,No,IL,,She/Her,"Black, Latinx",0-5 years,,Would not recommend to others,"Cis, Female",2021-04-01,Forbes,news
277,Forbes Advisor,2021-05-07,Writer,1200 words,1200 words,writing and reporting,1200,article,500,,0,$500.00,,,30 days,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,Unsure,,Did not require overtime,Unsure,Did not require expenses,,,Unsure,No,No,,,,,,,,,,,,,2021-05-07,Forbes Advisor,news
278,Foreign Policy,2023-01-19,Writer,"2,000 words reporting",2000 words reporting,writing and reporting,2000,article,1000,,0,,24,41.67,30 days,Direct Deposit,"Cold pitch - I reached out to them, Network referral",Unsure,No,No,Unsure,,Unsure,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,Analysis,United States of America,No,District of Columbia,United States of America,She/Her,"Jewish, White",15-20 years,38,Whatevs,"Female, Genderqueer",2023-01-19,Foreign Policy,news
279,Foreign Policy,2024-05-01,Writer,reporting 2000 words,reporting 2000 words,writing and reporting,2000,article,600,per word,0.5,$.50 per word,40,15,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,,,,,,,,,,,kenya,Yes,,U.S.,He/His,White,10-15 years,36,Would recommend to others,Cis,2024-05-01,Foreign Policy,news
280,Foreign Policy,2021-04-19,Writer,1400-word reported dispatch,1400 word reported dispatch,writing and reporting,1400,article,300,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,International News,Germany,No,,,She/Her,White,10-15 years,32,"Whatevs, Would recommend to others","Cis, Female",2021-04-19,Foreign Policy,news
281,Foreign Policy,2020-08-02,Writer,Opinion/analysis,opinion/analysis,writing and reporting,,op/ed,300,flat,300,flat fee,,,2 months,,Pre-existing relationship,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-02,Foreign Policy,news
282,Foreign Policy,2020-10-25,Writer,1300 words reporting,1300 words reporting,writing and reporting,1300,article,300,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,,Yes,No,,,,Job did not expand,Did not require expenses,,,,,,,"International News, Politics",USA/Bulgaria,No,FL,USA,She/Her,"Jewish, White",0-5 years,28,Would recommend to others,"Cis, Female",2020-10-25,Foreign Policy,news
283,freelance,2021-01-01,Editor,documentary film editor,documentary film editor,film/video,,video,60000,per day,600,$600/day (my typical daily rate unless non profit/friends),,,2 weeks or less,Check by mail,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Yes,No,"No, but the job wasn't killed",,didn’t require but we included it in the mutually negotiated contract based on the alliance of documentary editors template,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,instant venmo. only a handful of incidentals (cables),Was not hazardous,Unsure,Unsure,Yes,1,Non Fiction Memoir,united states,No,new york,"united states, san francisco ",He/His,White,10-15 years,47,Loved it,Cis,2021-01-01,Not Specified,not_news
284,Freelance,2019-09-01,Producer,"Podcast Producer for a magazine, including editorial &amp; production, 12 episodes",podcast producer for a magazine including editorial &amp; production 12 episodes,audio,,audio,7200,per hour,78,$78 per hour,,,30 days,Direct Deposit,They reached out to me with an assignment,Work For Hire,No,Yes,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Required expenses &amp; I was reimbursed,,Was not hazardous,No,No,No,,International News,Germany,No,,,She/Her,White,25 &amp; up,51,Loved it,Female,2019-09-01,Not Specified,not_news
285,Fresh Cup Magazine,2024-08-01,"Photographer, Writer",1000 words reporting with original photos ($10/each),1000 words reporting with original photos ($10/each),writing and reporting,1000,article,250,,0,,8,31.25,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,,,,,Hazard pay was not required,No,No,,,,United States,No,,United States,She/Her,White,5-10 years,,"Loved it, Would recommend to others",Cis,2024-08-01,Fresh Cup Magazine,news
286,frieze,2024-09-15,Writer,Critic's guide,critic's guide,writing and reporting,,article,560,,0,560,15,37.33,Over 3 months,Haven't been paid yet,"No pre-existing relationship, Cold pitch - I reached out to them, They reached out to me with an assignment",Work For Hire,Yes,,"Yes, but the job wasn't killed",,Chasing down payment for going on 120 days overdue has incurred additional fees and countless hours of additional labor correcting errors in their accounting department,,Required expenses &amp; I wasn't reimbursed,,,,No,,,,USA,Yes,Louisiana,UK,She/Her,"Jewish, White",5-10 years,30,Would not recommend to others,Female,2024-09-15,Frieze,news
